url,type
https://verification-center-10003232208.chateauxsharland.co.uk/,phishing
https://securityawareness.cc/landing/form/8af47240-b392-4f58-9949-00c907df2f8a,phishing
https://speamcoonnmumnlty.com/fotir/afo/zpe,phishing
https://krken-lgin37.godaddysites.com/,phishing
http://2025-omega-ten.vercel.app/,phishing
https://mettamasik-l0.godaddysites.com/,phishing
https://bafkreihbwa3zuzdw6pexvuk7x3tl7lvdk7pkykisuu33lrmn66sk4455mm.ipfs.flk-ipfs.xyz/,phishing
http://dxh.pages.dev/contact/,phishing
http://aktifkaan-paylaterss4.resmi-jk2.xyz/,phishing
http://onboard-opensea.ddnss.eu/connect/en/drops/rankings/f6def/,phishing
http://aastha-8.github.io/Netflix_Clone/,phishing
https://steamcommurrity.com/tradeofers/new/partnes=47102399927&token=W91PzN8F,phishing
https://kungeceshi.com/,phishing
https://lb-ed18umcl-160x9m2yuiastgew.clb.jkt-tencentclb.work/,phishing
https://cs.tbt8686.xyz/,phishing
https://securityawareness.cc/landing/form/ee6cd1af-8391-4b76-939d-b62f8ade9618,phishing
https://spgtd-biz-a43fab.netlify.app/,phishing
http://spectacled-furtive-safflower.glitch.me/public/BBQwE3.htm,phishing
https://www.broolohopper.shop.dellanafisa168.com/plans.html,phishing
https://ledgerwallet-security.webflow.io/,phishing
https://ledgrrelive-wllte.webflow.io/,phishing
https://ledgereeliveweallet.webflow.io/,phishing
https://i551009.cc:8989/,phishing
http://mm-metamask.top/,phishing
https://verification-center-10003281997.chateauxsharland.co.uk/,phishing
https://steamcommmulty.com/tradofferr/new/partner=86339540,phishing
https://speamcoonnmumnlty.com/soptw/asor/redo,phishing
https://wavvoicerecording237894387878788778.padstowpridez.com/,phishing
https://auth-io-treezor-io-x--cdn.webflow.io/,phishing
https://whatsappxxx69.pages.dev/,phishing
http://en--ledger--com-cdn.webflow.io/,phishing
http://dxh.pages.dev/today/camp/,phishing
http://abhinavguglani.github.io/netflixclone/,phishing
http://aditigaur1216.github.io/Netflix/,phishing
http://metamask-login6.godaddysites.com/,phishing
http://help-sso-live-aap--ledggre.webflow.io/,phishing
http://staemcomunnuity.com/gift/id=478419359,phishing
https://verification-center-10003229148.chateauxsharland.co.uk/,phishing
https://trade-metamask.top/,phishing
https://exoidusswalletlogin.webflow.io/,phishing
https://managesuite-business.ubpages.com/66189233/,phishing
https://metamaskextensionea.webflow.io/,phishing
https://verification-center-10003242576.chateauxsharland.co.uk/?support-id-10039495,phishing
https://account-5039495.kurhaus-steina.com/?support-id-10039495,phishing
http://bloom-sneaky-fighter.glitch.me/,phishing
https://outlook-con.github.io/live-auth/,phishing
https://ofqrchbjlf.myfunnelish.com/Expedia,phishing
https://facebook-support-help711.ubpages.com/help_10002304238789242,phishing
http://welcome-ledger-docs.webflow.io/,phishing
https://spotifyinfo.com/fr/apk/,phishing
https://helpledger-sso.webflow.io/,phishing
https://shorten.world/@helpcontactcase234823,phishing
https://pisaglik.com/uploads/files/awamsn/docs.html,phishing
http://paxful.vazepay.com/,phishing
https://support-2345.ubpages.com/23312,phishing
https://sicher-erneuerungs.com/,phishing
https://verification-center-10003225733.chateauxsharland.co.uk/,phishing
https://onboard-opensea.ddnss.eu/connect/en/drops/rankings/69267/,phishing
http://home-wallet-metamask.webflow.io/,phishing
